Time [s],Channel 0
2.268669500,0
2.269993500,1
2.270669500,0
2.271993500,1
2.272669500,0
2.273993500,1
2.274669500,0
2.275993500,1
2.276669500,0
2.278014000,1
2.278945500,0
2.279993500,1
2.280669500,0
2.281993500,1
2.282669500,0
2.283993500,1
2.284669500,0
2.285993500,1
2.286669500,0
2.287993500,1
2.288669500,0
2.289993500,1
2.290669500,0
2.291993500,1
2.292669500,0
2.293993500,1
2.294669500,0
2.295993500,1
2.296669500,0
2.298014000,1
2.298954000,0
2.299997000,1
2.300736000,0
2.301994000,1
2.302769000,0
2.304735500,1
2.305435500,0
2.306000000,1
2.306701500,0
2.308000000,1
2.308698000,0
2.309995500,1
2.310694500,0
2.311993500,1
2.312691000,0
2.313994000,1
2.314670000,0
2.315993500,1
2.316669500,0
2.318014000,1
2.318943000,0
2.319993500,1
2.320669500,0
2.321993000,1
2.322669500,0
2.323993000,1
2.324669500,0
2.325993000,1
2.326669500,0
2.327993000,1
2.328669500,0
2.329993000,1
2.330669500,0
2.331993000,1
2.332669500,0
2.333993000,1
2.334669500,0
2.335993000,1
2.336669500,0
2.338014000,1
2.338947500,0
2.339993500,1
2.340670000,0
2.341993000,1
2.342669500,0
2.343993000,1
2.344669500,0
2.345993000,1
2.346669500,0
2.347993000,1
2.348669500,0
2.349993000,1
2.350669500,0
2.351993000,1
2.352669500,0
2.353993000,1
2.354669500,0
2.355993000,1
2.356669500,0
2.358014000,1
2.358945500,0
2.359993000,1
2.360669500,0
2.361993000,1
2.362669500,0
2.363993000,1
2.364669500,0
2.365993000,1
2.366669000,0
2.367993000,1
2.368669000,0
2.369993000,1
2.370669000,0
2.371993000,1
2.372669000,0
2.373993000,1
2.374669000,0
2.375993000,1
2.376669500,0
2.378014000,1
2.378943000,0
2.379993000,1
2.380669500,0
2.381993000,1
2.382669500,0
2.383993000,1
2.384669500,0
2.385993000,1
2.386669000,0
2.387993000,1
2.388669000,0
2.389993000,1
2.390669000,0
2.391993000,1
2.392669000,0
2.393993000,1
2.394669000,0
2.395993000,1
2.396669500,0
2.398014000,1
2.398954000,0
2.399997000,1
2.400736000,0
2.401993500,1
2.402769000,0
2.404732000,1
2.405429000,0
2.405996000,1
2.406695000,0
2.407993500,1
2.408691500,0
2.409993500,1
2.410690500,0
2.411993500,1
2.412693500,0
2.413993500,1
2.414670000,0
2.415993000,1
2.416669500,0
2.418013500,1
2.418945000,0
2.419993000,1
2.420669000,0
2.421993000,1
2.422669000,0
2.423993000,1
2.424669000,0
2.425993000,1
2.426669000,0
2.427993000,1
2.428669500,0
2.429993000,1
2.430669500,0
2.431993000,1
2.432669500,0
2.433993000,1
2.434669500,0
2.435993000,1
2.436669500,0
2.438013500,1
2.438947500,0
2.439993500,1
2.440670000,0
2.441993000,1
2.442669500,0
2.443993000,1
2.444669500,0
2.445993000,1
2.446669500,0
2.447993000,1
2.448668500,0
2.449993000,1
2.450668500,0
2.451993000,1
2.452668500,0
2.453993000,1
2.454668500,0
2.455993000,1
2.456668500,0
2.458013500,1
2.458945000,0
2.459993000,1
2.460669000,0
2.461993000,1
2.462669000,0
2.463993000,1
2.464669000,0
2.465993000,1
2.466669000,0
2.467993000,1
2.468669000,0
2.469993000,1
2.470669000,0
2.471993000,1
2.472669000,0
2.473993000,1
2.474669000,0
2.475993000,1
2.476669000,0
2.478013500,1
2.478942500,0
2.479993000,1
2.480669000,0
2.481993000,1
2.482669000,0
2.483993000,1
2.484669000,0
2.485993000,1
2.486669000,0
2.487993000,1
2.488669000,0
2.489993000,1
2.490669000,0
2.491993000,1
2.492669000,0
2.493992500,1
2.494669000,0
2.495992500,1
2.496669000,0
2.498013500,1
2.498950500,0
2.499996500,1
2.500735500,0
2.501993000,1
2.502768500,0
2.504735000,1
2.505430500,0
2.505999500,1
2.506696500,0
2.507994500,1
2.508693000,0
2.509993000,1
2.510689500,0
2.511993000,1
2.512689500,0
2.513993000,1
2.514669500,0
2.515992500,1
2.516669000,0
2.518013500,1
2.518945000,0
2.519992500,1
2.520669000,0
2.521992500,1
2.522669000,0
2.523992500,1
2.524669000,0
2.525992500,1
2.526669000,0
2.527992500,1
2.528668500,0
2.529992500,1
2.530668500,0
2.531992500,1
2.532668500,0
2.533992500,1
2.534668500,0
2.535992500,1
2.536668500,0
2.538013500,1
2.538947000,0
2.539993000,1
2.540669000,0
2.541992500,1
2.542668500,0
2.543992500,1
2.544668500,0
2.545992500,1
2.546668500,0
2.547992500,1
2.548669000,0
2.549992500,1
2.550669000,0
2.551992500,1
2.552669000,0
2.553992500,1
2.554669000,0
2.555992500,1
2.556669000,0
2.558013500,1
2.558945000,0
2.559992500,1
2.560669000,0
2.561992500,1
2.562669000,0
2.563992500,1
2.564669000,0
2.565992500,1
2.566669000,0
2.567992500,1
2.568668500,0
2.569992500,1
2.570668500,0
2.571992500,1
2.572668500,0
2.573992500,1
2.574668500,0
2.575992500,1
2.576668500,0
2.578013000,1
2.578945000,0
2.579992500,1
2.580668500,0
2.581992500,1
2.582668500,0
2.583992500,1
2.584668500,0
2.585992500,1
2.586668500,0
2.587992500,1
2.588668500,0
2.589992500,1
2.590668500,0
2.591992500,1
2.592668500,0
2.593992500,1
2.594668500,0
2.595992500,1
2.596668500,0
2.598013000,1
2.598950500,0
2.599996000,1
2.600735000,0
2.601993000,1
2.602767500,0
2.604735000,1
2.605432500,0
2.605999000,1
2.606698500,0
2.607996500,1
2.608695000,0
2.609992500,1
2.610691500,0
2.611993000,1
2.612689500,0
2.613993000,1
2.614669000,0
2.615992500,1
2.616668500,0
2.618013000,1
2.618941500,0
2.619992500,1
2.620668500,0
2.621992500,1
2.622668500,0
2.623992500,1
2.624668500,0
2.625992500,1
2.626668500,0
2.627992500,1
2.628668500,0
2.629992500,1
2.630668500,0
2.631992500,1
2.632668500,0
2.633992500,1
2.634668500,0
2.635992500,1
2.636668500,0
2.638013000,1
2.638949000,0
2.639993000,1
2.640669000,0
2.641992500,1
2.642668500,0
2.643992500,1
2.644668500,0
2.645992500,1
2.646668500,0
2.647992500,1
2.648668500,0
2.649992500,1
2.650668500,0
2.651992500,1
2.652668500,0
2.653992500,1
2.654668000,0
2.655992500,1
2.656668000,0
2.658013000,1
2.658944500,0
2.659992500,1
2.660668500,0
2.661992500,1
2.662668500,0
2.663992500,1
2.664668500,0
2.665992000,1
2.666668500,0
2.667992000,1
2.668668500,0
2.669992000,1
2.670668500,0
2.671992000,1
2.672668500,0
2.673992000,1
2.674668500,0
2.675992000,1
2.676668500,0
2.678013000,1
2.678942000,0
2.679992000,1
2.680668500,0
2.681992000,1
2.682668500,0
2.683992000,1
2.684668500,0
2.685992000,1
2.686668500,0
2.687992000,1
2.688668500,0
2.689992000,1
2.690668000,0
2.691992000,1
2.692668000,0
2.693992000,1
2.694668000,0
2.695992000,1
2.696668000,0
2.698013000,1
2.698950000,0
2.699996000,1
2.700734500,0
2.701992500,1
2.702767500,0
2.704736000,1
2.705434500,0
2.705998500,1
2.706700000,0
2.707998500,1
2.708697000,0
2.709994500,1
2.710693500,0
2.711992500,1
2.712690000,0
2.713992500,1
2.714669000,0
2.715992000,1
2.716668500,0
2.718013000,1
2.718944500,0
2.719992000,1
2.720668500,0
2.721992000,1
2.722668500,0
2.723992000,1
2.724668500,0
2.725992000,1
2.726668500,0
2.727992000,1
2.728668500,0
2.729992000,1
2.730668500,0
2.731992000,1
2.732668000,0
2.733992000,1
2.734668000,0
2.735992000,1
2.736668000,0
2.738013000,1
2.738949000,0
2.739992500,1
2.740668500,0
2.741992000,1
2.742668000,0
2.743992000,1
2.744668000,0
2.745992000,1
2.746668000,0
2.747992000,1
2.748668000,0
2.749992000,1
2.750668000,0
2.751992000,1
2.752668000,0
2.753992000,1
2.754668000,0
2.755992000,1
2.756668000,0
2.758012500,1
2.758941500,0
2.759992000,1
2.760668500,0
2.761992000,1
2.762668500,0
2.763992000,1
2.764668500,0
2.765992000,1
2.766668500,0
2.767992000,1
2.768668500,0
2.769992000,1
2.770668500,0
2.771992000,1
2.772668500,0
2.773992000,1
2.774668500,0
2.775992000,1
2.776668500,0
2.778012500,1
2.778941500,0
2.779992000,1
2.780668500,0
2.781992000,1
2.782668000,0
2.783992000,1
2.784668000,0
2.785992000,1
2.786668000,0
2.787992000,1
2.788668000,0
2.789992000,1
2.790668000,0
2.791992000,1
2.792668000,0
2.793992000,1
2.794668000,0
2.795992000,1
2.796668000,0
2.798012500,1
2.798952500,0
2.799995500,1
2.800734500,0
2.801992500,1
2.802767500,0
2.804733000,1
2.805428500,0
2.805995500,1
2.806694000,0
2.807992500,1
2.808690000,0
2.809992500,1
2.810689000,0
2.811992500,1
2.812692000,0
2.813992500,1
2.814668500,0
2.815992000,1
2.816668000,0
2.818012500,1
2.818941500,0
2.819992000,1
2.820668000,0
2.821992000,1
2.822668000,0
2.823992000,1
2.824668000,0
2.825992000,1
2.826668000,0
2.827992000,1
2.828668000,0
2.829992000,1
2.830668000,0
2.831992000,1
2.832667500,0
2.833992000,1
2.834667500,0
2.835992000,1
2.836667500,0
2.838012500,1
2.838948500,0
2.839992000,1
2.840668000,0
2.841991500,1
2.842667500,0
2.843991500,1
2.844667500,0
2.845991500,1
2.846667500,0
2.847991500,1
2.848667500,0
2.849991500,1
2.850667500,0
2.851991500,1
2.852668000,0
2.853991500,1
2.854668000,0
2.855991500,1
2.856668000,0
2.858012500,1
2.858944000,0
2.859991500,1
2.860668000,0
2.861991500,1
2.862668000,0
2.863991500,1
2.864668000,0
2.865991500,1
2.866668000,0
2.867991500,1
2.868668000,0
2.869991500,1
2.870668000,0
2.871991500,1
2.872668000,0
2.873991500,1
2.874668000,0
2.875991500,1
2.876668000,0
2.878012500,1
2.878941500,0
2.879991500,1
2.880668000,0
2.881991500,1
2.882667500,0
2.883991500,1
2.884667500,0
2.885991500,1
2.886667500,0
2.887991500,1
2.888667500,0
2.889991500,1
